date,plant_id,line_id,machine_id,shift,product_id,planned_production_time_min,runtime_min,downtime_min,downtime_reason,ideal_cycle_time_sec,target_output_qty,actual_output_qty,good_units,rejected_units,defect_type,scrap_qty,rework_qty,maintenance_flag,machine_temperature_c,machine_vibration_mm_s,production_cost_per_unit,selling_price_per_unit,estimated_loss_value
2026-01-26,Plant B,Line 2,M-08,Evening,Gear Cover,480,408.02,71.98,Minor Stops,42,685,493,480,13,None,6,7,False,69.9,3.4,21.12,35.08,2460.0
2026-01-26,Plant B,Line 2,M-08,Night,Auto Bracket,480,464.8,15.2,Tooling Issue,48,600,459,429,30,None,21,9,True,67.31,2.51,22.11,33.86,2565.0
2026-01-26,Plant B,Line 3,M-09,Morning,Gear Cover,480,447.36,32.64,Setup / Changeover,55,523,396,388,8,None,4,4,False,68.66,2.55,17.33,23.05,2025.0
2026-01-26,Plant B,Line 3,M-09,Evening,Valve Plate,480,433.83,46.17,Tooling Issue,38,757,704,689,15,None,7,8,True,67.04,1.94,20.41,36.5,442.0
2026-01-26,Plant B,Line 3,M-09,Night,Pump Housing,480,452.27,27.73,Minor Stops,62,464,356,341,15,Dimension,8,7,False,66.54,2.97,18.41,35.23,1291.5
2026-01-26,Plant B,Line 1,M-10,Morning,Pump Housing,480,455.09,24.91,Tooling Issue,38,757,615,578,37,None,22,15,True,72.17,1.57,23.96,34.57,1163.5
2026-01-26,Plant B,Line 1,M-10,Evening,Auto Bracket,480,454.99,25.01,Machine Breakdown,55,523,394,376,18,None,11,7,True,63.52,2.41,21.24,31.64,1764.0
2026-01-26,Plant B,Line 1,M-10,Night,Bearing Cap,480,451.98,28.02,Minor Stops,55,523,458,434,24,None,13,11,False,72.49,2.86,21.14,28.6,1068.0
2026-01-26,Plant B,Line 2,M-11,Morning,Valve Plate,480,379.7,100.3,Minor Stops,62,464,294,280,14,Surface,8,6,False,74.74,3.71,18.76,31.14,2208.0
2026-01-26,Plant B,Line 2,M-11,Evening,Gear Cover,480,468.29,11.71,Machine Breakdown,48,600,470,439,31,None,13,18,True,72.44,3.51,19.6,34.38,1288.0
2026-01-26,Plant B,Line 2,M-11,Night,Auto Bracket,480,372.03,107.97,Setup / Changeover,62,464,300,281,19,Surface,9,10,False,83.99,2.22,18.75,31.87,2196.0
2026-01-26,Plant B,Line 3,M-12,Morning,Auto Bracket,480,466.73,13.27,Setup / Changeover,55,523,419,395,24,None,17,7,False,75.25,1.36,16.06,29.97,1024.0
2026-01-26,Plant B,Line 3,M-12,Evening,Valve Plate,480,472.78,7.22,Machine Breakdown,42,685,637,612,25,Packaging,11,14,True,61.55,3.37,23.29,29.15,766.5
2026-01-26,Plant B,Line 3,M-12,Night,Auto Bracket,480,471.98,8.02,Machine Breakdown,38,757,688,657,31,Crack,12,19,True,68.49,3.02,20.85,38.79,800.0
2026-01-27,Plant A,Line 1,M-01,Morning,Auto Bracket,480,446.67,33.33,Machine Breakdown,42,685,581,562,19,Crack,9,10,True,56.35,1.85,14.69,28.85,1291.5
2026-01-27,Plant A,Line 1,M-01,Evening,Gear Cover,480,465.75,14.25,Tooling Issue,62,464,415,413,2,None,0,2,True,64.36,2.88,25.35,26.47,331.5
2026-01-27,Plant A,Line 1,M-01,Night,Valve Plate,480,469.64,10.36,Utilities Issue,42,685,519,488,31,None,20,11,False,57.95,1.58,18.05,31.58,2068.5
2026-01-27,Plant A,Line 2,M-02,Morning,Gear Cover,480,465.64,14.36,Tooling Issue,55,523,427,404,23,None,11,12,True,64.38,2.95,20.83,38.04,1428.0
2026-01-27,Plant A,Line 2,M-02,Evening,Bearing Cap,480,447.39,32.61,Setup / Changeover,38,757,560,542,18,Dimension,11,7,False,57.92,2.47,21.47,31.87,2580.0
2026-01-27,Plant A,Line 2,M-02,Night,Gear Cover,480,463.3,16.7,Setup / Changeover,62,464,349,326,23,None,10,13,False,63.46,3.15,21.71,36.36,2070.0
2026-01-27,Plant A,Line 3,M-03,Morning,Pump Housing,480,451.46,28.54,Quality Hold,42,685,577,546,31,None,21,10,False,54.18,1.52,18.98,41.43,2085.0
2026-01-27,Plant A,Line 3,M-03,Evening,Pump Housing,480,474.38,5.62,Setup / Changeover,55,523,459,443,16,Crack,5,11,False,64.43,2.53,22.77,29.45,960.0
2026-01-27,Plant A,Line 3,M-03,Night,Auto Bracket,480,471.61,8.39,Setup / Changeover,42,685,628,585,43,Surface,25,18,False,75.51,3.03,16.67,33.23,800.0
2026-01-27,Plant A,Line 1,M-04,Morning,Valve Plate,480,440.39,39.61,Planned Maintenance,48,600,472,457,15,Dimension,6,9,False,71.88,2.28,21.73,35.75,929.5
2026-01-27,Plant A,Line 1,M-04,Evening,Bearing Cap,480,478.19,1.81,Tooling Issue,55,523,451,430,21,Surface,9,12,True,71.94,2.57,21.88,30.87,1116.0
2026-01-27,Plant A,Line 1,M-04,Night,Pump Housing,480,461.47,18.53,Machine Breakdown,48,600,514,492,22,None,15,7,True,58.75,1.82,19.65,38.78,1134.0
2026-01-27,Plant A,Line 2,M-05,Morning,Valve Plate,480,464.51,15.49,Quality Hold,38,757,527,521,6,Surface,4,2,False,67.99,2.64,36.01,28.01,3540.0
2026-01-27,Plant A,Line 2,M-05,Evening,Auto Bracket,480,441.02,38.98,Planned Maintenance,42,685,465,447,18,Packaging,12,6,False,74.42,2.39,18.05,36.4,1904.0
2026-01-27,Plant A,Line 2,M-05,Night,Valve Plate,480,469.7,10.3,Minor Stops,55,523,409,372,37,None,16,21,False,70.51,2.45,25.94,26.99,2265.0
2026-01-27,Plant A,Line 3,M-06,Morning,Valve Plate,480,479.33,0.67,Tooling Issue,55,523,501,480,21,None,9,12,True,60.85,1.74,15.27,36.93,516.0
2026-01-27,Plant A,Line 3,M-06,Evening,Bearing Cap,480,470.97,9.03,Machine Breakdown,42,685,581,570,11,None,7,4,True,83.59,3.35,23.32,28.89,1380.0
2026-01-27,Plant A,Line 3,M-06,Night,Gear Cover,480,425.42,54.58,Setup / Changeover,55,523,454,447,7,Surface,4,3,False,70.4,2.68,27.23,37.66,1140.0
2026-01-27,Plant B,Line 1,M-07,Morning,Bearing Cap,480,478.23,1.77,Machine Breakdown,62,464,444,424,20,None,13,7,True,69.63,3.35,28.68,23.73,600.0
2026-01-27,Plant B,Line 1,M-07,Evening,Valve Plate,480,456.07,23.93,Minor Stops,38,757,609,570,39,Packaging,26,13,False,68.32,3.83,25.6,35.36,2244.0
2026-01-27,Plant B,Line 1,M-07,Night,Valve Plate,480,411.63,68.37,Tooling Issue,38,757,521,491,30,Surface,11,19,True,85.94,2.24,18.12,30.48,3192.0
2026-01-27,Plant B,Line 2,M-08,Morning,Bearing Cap,480,472.96,7.04,Minor Stops,55,523,481,468,13,Dimension,4,9,False,69.13,2.29,27.63,33.87,660.0
2026-01-27,Plant B,Line 2,M-08,Evening,Auto Bracket,480,457.14,22.86,Machine Breakdown,55,523,433,413,20,None,9,11,True,69.43,1.96,14.51,30.43,1155.0
2026-01-27,Plant B,Line 2,M-08,Night,Valve Plate,480,466.04,13.96,Tooling Issue,62,464,363,352,11,None,4,7,True,63.54,2.5,25.9,29.62,896.0
2026-01-27,Plant B,Line 3,M-09,Morning,Gear Cover,480,469.35,10.65,Tooling Issue,62,464,374,345,29,None,14,15,True,70.25,2.1,16.29,31.14,1428.0
2026-01-27,Plant B,Line 3,M-09,Evening,Auto Bracket,480,464.42,15.58,Planned Maintenance,62,464,393,393,0,Dimension,0,0,False,63.63,2.08,19.93,26.79,568.0
2026-01-27,Plant B,Line 3,M-09,Night,Auto Bracket,480,399.43,80.57,Setup / Changeover,48,600,441,421,20,None,12,8,False,72.23,2.65,10.66,30.73,1432.0
2026-01-27,Plant B,Line 1,M-10,Morning,Pump Housing,480,451.77,28.23,Utilities Issue,48,600,578,571,7,Packaging,2,5,False,67.88,1.9,28.76,31.93,304.5
2026-01-27,Plant B,Line 1,M-10,Evening,Bearing Cap,480,435.43,44.57,Setup / Changeover,48,600,511,489,22,Dimension,13,9,False,59.39,2.63,22.78,33.12,721.5
2026-01-27,Plant B,Line 1,M-10,Night,Gear Cover,480,472.35,7.65,Machine Breakdown,55,523,461,437,24,None,13,11,True,71.27,2.67,26.87,31.59,1032.0
2026-01-27,Plant B,Line 2,M-11,Morning,Pump Housing,480,431.02,48.98,Tooling Issue,55,523,359,353,6,Packaging,3,3,True,80.65,3.41,25.94,38.45,1785.0
2026-01-27,Plant B,Line 2,M-11,Evening,Gear Cover,480,430.56,49.44,Machine Breakdown,38,757,545,516,29,Packaging,17,12,True,78.47,3.51,14.99,46.97,2892.0
2026-01-27,Plant B,Line 2,M-11,Night,Bearing Cap,480,347.53,132.47,Quality Hold,42,685,426,405,21,None,8,13,False,86.86,3.32,23.69,40.54,4200.0
2026-01-27,Plant B,Line 3,M-12,Morning,Auto Bracket,480,462.29,17.71,Quality Hold,42,685,577,570,7,None,4,3,False,62.61,2.57,16.17,28.67,1380.0
2026-01-27,Plant B,Line 3,M-12,Evening,Auto Bracket,480,463.26,16.74,Material Shortage,38,757,742,717,25,None,9,16,False,54.87,2.47,23.94,35.61,260.0
2026-01-27,Plant B,Line 3,M-12,Night,Gear Cover,480,435.64,44.36,Material Shortage,55,523,458,436,22,Dimension,8,14,False,58.36,2.81,13.4,30.83,1305.0
2026-01-28,Plant A,Line 1,M-01,Morning,Valve Plate,480,457.34,22.66,Quality Hold,48,600,521,512,9,None,4,5,False,60.05,2.76,27.89,37.87,924.0
2026-01-28,Plant A,Line 1,M-01,Evening,Gear Cover,480,472.31,7.69,Tooling Issue,42,685,534,520,14,Crack,9,5,True,65.03,1.9,22.12,33.18,1732.5
2026-01-28,Plant A,Line 1,M-01,Night,Auto Bracket,480,459.82,20.18,Material Shortage,62,464,373,355,18,None,7,11,False,63.5,2.97,16.37,36.76,708.5
2026-01-28,Plant A,Line 2,M-02,Morning,Bearing Cap,480,429.56,50.44,Tooling Issue,38,757,515,506,9,None,4,5,True,71.96,3.18,24.54,29.28,1631.5
2026-01-28,Plant A,Line 2,M-02,Evening,Auto Bracket,480,458.77,21.23,Material Shortage,38,757,606,593,13,Crack,6,7,False,70.85,2.8,22.73,32.05,1722.0
2026-01-28,Plant A,Line 2,M-02,Night,Valve Plate,480,471.12,8.88,Machine Breakdown,55,523,402,387,15,Dimension,6,9,True,72.8,2.78,20.39,32.68,2040.0
2026-01-28,Plant A,Line 3,M-03,Morning,Auto Bracket,480,459.04,20.96,Machine Breakdown,42,685,566,540,26,None,14,12,True,67.26,2.67,18.17,33.26,1522.5
2026-01-28,Plant A,Line 3,M-03,Evening,Gear Cover,480,450.0,30.0,Material Shortage,38,757,559,530,29,None,16,13,False,78.51,1.88,19.28,35.22,2724.0
2026-01-28,Plant A,Line 3,M-03,Night,Bearing Cap,480,475.91,4.09,Machine Breakdown,55,523,496,488,8,None,4,4,True,68.34,3.13,19.08,37.81,227.5
2026-01-28,Plant A,Line 1,M-04,Morning,Auto Bracket,480,461.14,18.86,Setup / Changeover,62,464,324,314,10,Dimension,4,6,False,68.29,2.71,19.6,31.41,1200.0
2026-01-28,Plant A,Line 1,M-04,Evening,Bearing Cap,480,392.81,87.19,Material Shortage,62,464,276,263,13,None,6,7,False,60.91,3.71,16.16,27.44,3015.0
2026-01-28,Plant A,Line 1,M-04,Night,Auto Bracket,480,411.44,68.56,Setup / Changeover,48,600,442,420,22,Dimension,15,7,False,78.62,2.91,16.05,35.48,1890.0
2026-01-28,Plant A,Line 2,M-05,Morning,Valve Plate,480,425.52,54.48,Material Shortage,62,464,330,323,7,Surface,4,3,False,74.34,2.24,25.98,37.64,1128.0
2026-01-28,Plant A,Line 2,M-05,Evening,Valve Plate,480,475.35,4.65,Setup / Changeover,62,464,367,355,12,None,7,5,False,60.13,3.02,19.19,37.85,1144.5
2026-01-28,Plant A,Line 2,M-05,Night,Gear Cover,480,442.56,37.44,Tooling Issue,62,464,378,364,14,Dimension,8,6,True,72.48,2.16,20.57,31.97,800.0
2026-01-28,Plant A,Line 3,M-06,Morning,Gear Cover,480,449.98,30.02,Quality Hold,42,685,524,522,2,None,1,1,False,75.44,2.85,24.49,32.62,2445.0
2026-01-28,Plant A,Line 3,M-06,Evening,Bearing Cap,480,463.51,16.49,Machine Breakdown,62,464,427,426,1,None,0,1,True,73.94,1.87,19.03,27.45,399.0
2026-01-28,Plant A,Line 3,M-06,Night,Pump Housing,480,473.81,6.19,Quality Hold,55,523,407,395,12,None,8,4,False,62.95,2.3,14.46,42.95,1024.0
2026-01-28,Plant B,Line 1,M-07,Morning,Bearing Cap,480,452.98,27.02,Quality Hold,55,523,496,477,19,None,10,9,False,76.37,3.17,19.84,28.15,368.0
2026-01-28,Plant B,Line 1,M-07,Evening,Pump Housing,480,464.4,15.6,Minor Stops,48,600,464,440,24,None,12,12,True,79.01,3.17,25.46,35.94,1040.0
2026-01-28,Plant B,Line 1,M-07,Night,Gear Cover,480,450.35,29.65,Minor Stops,42,685,667,621,46,Surface,21,25,False,75.84,3.01,25.02,39.99,672.0
2026-01-28,Plant B,Line 2,M-08,Morning,Auto Bracket,480,456.39,23.61,Tooling Issue,38,757,601,560,41,None,19,22,True,65.13,2.35,14.77,38.29,2955.0
2026-01-28,Plant B,Line 2,M-08,Evening,Valve Plate,480,455.95,24.05,Tooling Issue,62,464,327,318,9,None,4,5,True,67.91,2.43,18.61,28.7,1168.0
2026-01-28,Plant B,Line 2,M-08,Night,Bearing Cap,480,455.81,24.19,Machine Breakdown,62,464,378,367,11,Surface,5,6,True,73.71,2.55,23.71,35.53,1164.0
2026-01-28,Plant B,Line 3,M-09,Morning,Bearing Cap,480,442.43,37.57,Setup / Changeover,48,600,510,486,24,None,17,7,False,72.41,1.67,25.2,39.95,912.0
2026-01-28,Plant B,Line 3,M-09,Evening,Auto Bracket,480,467.49,12.51,Utilities Issue,48,600,559,545,14,None,8,6,False,66.38,2.42,26.58,36.16,825.0
2026-01-28,Plant B,Line 3,M-09,Night,Valve Plate,480,460.59,19.41,Setup / Changeover,55,523,438,431,7,None,5,2,False,60.96,2.42,20.77,31.99,736.0
2026-01-28,Plant B,Line 1,M-10,Morning,Bearing Cap,480,446.92,33.08,Tooling Issue,48,600,484,464,20,None,8,12,True,59.0,2.69,19.72,23.1,1428.0
2026-01-28,Plant B,Line 1,M-10,Evening,Auto Bracket,480,445.98,34.02,Material Shortage,38,757,595,584,11,Surface,6,5,True,71.19,2.31,27.33,37.56,1384.0
2026-01-28,Plant B,Line 1,M-10,Night,Bearing Cap,480,455.48,24.52,Planned Maintenance,38,757,572,553,19,None,7,12,False,65.75,2.48,19.18,46.51,2142.0
2026-01-28,Plant B,Line 2,M-11,Morning,Bearing Cap,480,473.72,6.28,Quality Hold,55,523,449,430,19,Packaging,11,8,False,76.82,4.04,22.03,35.48,1116.0
2026-01-28,Plant B,Line 2,M-11,Evening,Auto Bracket,480,460.81,19.19,Material Shortage,48,600,452,442,10,Crack,6,4,False,84.09,2.62,22.29,28.26,1659.0
2026-01-28,Plant B,Line 2,M-11,Night,Pump Housing,480,460.83,19.17,Material Shortage,42,685,555,523,32,Assembly,12,20,True,58.23,3.62,15.9,38.74,1701.0
2026-01-28,Plant B,Line 3,M-12,Morning,Valve Plate,480,454.79,25.21,Tooling Issue,62,464,460,434,26,Surface,10,16,True,60.92,2.54,15.18,29.52,360.0
2026-01-28,Plant B,Line 3,M-12,Evening,Auto Bracket,480,470.63,9.37,Machine Breakdown,38,757,609,589,20,Assembly,14,6,True,59.9,3.48,17.65,29.25,1344.0
2026-01-28,Plant B,Line 3,M-12,Night,Bearing Cap,480,468.5,11.5,Planned Maintenance,38,757,618,588,30,None,21,9,False,71.99,3.08,28.72,36.56,1352.0
2026-01-29,Plant A,Line 1,M-01,Morning,Bearing Cap,480,472.92,7.08,Material Shortage,48,600,479,475,4,Packaging,1,3,False,59.57,2.41,23.05,26.84,812.5
2026-01-29,Plant A,Line 1,M-01,Evening,Auto Bracket,480,463.44,16.56,Machine Breakdown,42,685,532,510,22,Packaging,10,12,True,75.39,3.26,15.56,39.02,2625.0
2026-01-29,Plant A,Line 1,M-01,Night,Pump Housing,480,445.91,34.09,Machine Breakdown,55,523,454,426,28,None,16,12,True,66.52,2.92,22.91,37.76,630.5
2026-01-29,Plant A,Line 2,M-02,Morning,Pump Housing,480,448.71,31.29,Minor Stops,55,523,449,434,15,Packaging,8,7,False,82.31,2.59,20.22,35.29,1068.0
2026-01-29,Plant A,Line 2,M-02,Evening,Valve Plate,480,453.89,26.11,Material Shortage,48,600,401,391,10,None,4,6,False,66.56,1.47,22.73,39.97,2194.5
2026-01-29,Plant A,Line 2,M-02,Night,Bearing Cap,480,471.65,8.35,Tooling Issue,48,600,521,507,14,None,9,5,True,73.93,2.31,21.08,30.67,744.0
2026-01-29,Plant A,Line 3,M-03,Morning,Auto Bracket,480,453.07,26.93,Material Shortage,38,757,658,627,31,Crack,12,19,False,75.53,3.34,16.67,38.31,1560.0
2026-01-29,Plant A,Line 3,M-03,Evening,Bearing Cap,480,414.42,65.58,Setup / Changeover,62,464,309,300,9,Dimension,6,3,False,61.92,3.01,20.06,26.46,1066.0
2026-01-29,Plant A,Line 3,M-03,Night,Bearing Cap,480,475.31,4.69,Material Shortage,62,464,405,383,22,None,15,7,False,62.25,1.85,30.54,36.4,1215.0
2026-01-29,Plant A,Line 1,M-04,Morning,Pump Housing,480,450.65,29.35,Material Shortage,55,523,384,371,13,Packaging,7,6,False,66.01,1.76,13.83,42.76,988.0
2026-01-29,Plant A,Line 1,M-04,Evening,Bearing Cap,480,438.89,41.11,Tooling Issue,48,600,448,447,1,None,0,1,True,64.98,2.17,24.31,33.29,1606.5
2026-01-29,Plant A,Line 1,M-04,Night,Valve Plate,480,445.57,34.43,Planned Maintenance,48,600,440,417,23,Assembly,13,10,False,66.16,3.1,17.12,41.12,1921.5
2026-01-29,Plant A,Line 2,M-05,Morning,Bearing Cap,480,432.46,47.54,Machine Breakdown,48,600,507,496,11,Assembly,4,7,True,67.75,1.99,21.2,36.28,1560.0
2026-01-29,Plant A,Line 2,M-05,Evening,Pump Housing,480,462.01,17.99,Machine Breakdown,38,757,749,732,17,None,12,5,True,64.04,2.45,22.45,32.82,300.0
2026-01-29,Plant A,Line 2,M-05,Night,Auto Bracket,480,441.2,38.8,Planned Maintenance,42,685,455,425,30,Crack,16,14,False,74.03,2.39,28.32,29.41,1690.0
2026-01-29,Plant A,Line 3,M-06,Morning,Auto Bracket,480,477.9,2.1,Tooling Issue,48,600,498,455,43,None,23,20,True,70.47,2.21,17.85,41.08,1740.0
2026-01-29,Plant A,Line 3,M-06,Evening,Auto Bracket,480,443.22,36.78,Quality Hold,48,600,500,494,6,None,3,3,False,61.44,1.9,19.55,35.31,848.0
2026-01-29,Plant A,Line 3,M-06,Night,Gear Cover,480,454.49,25.51,Machine Breakdown,48,600,479,442,37,None,14,23,True,67.24,2.22,12.51,33.83,1659.0
2026-01-29,Plant B,Line 1,M-07,Morning,Auto Bracket,480,408.28,71.72,Planned Maintenance,48,600,432,408,24,None,14,10,False,80.69,4.05,16.12,35.13,2304.0
2026-01-29,Plant B,Line 1,M-07,Evening,Pump Housing,480,415.05,64.95,Setup / Changeover,62,464,361,346,15,None,5,10,False,81.82,3.63,18.95,32.74,1239.0
2026-01-29,Plant B,Line 1,M-07,Night,Auto Bracket,480,441.97,38.03,Minor Stops,42,685,544,522,22,None,12,10,True,77.38,2.74,13.95,36.12,1956.0
2026-01-29,Plant B,Line 2,M-08,Morning,Auto Bracket,480,435.55,44.45,Setup / Changeover,42,685,510,494,16,Packaging,11,5,False,65.96,2.35,20.42,37.06,1241.5
2026-01-29,Plant B,Line 2,M-08,Evening,Valve Plate,480,470.34,9.66,Minor Stops,48,600,534,516,18,None,11,7,False,61.55,2.99,19.55,36.56,1008.0
2026-01-29,Plant B,Line 2,M-08,Night,Pump Housing,480,444.22,35.78,Material Shortage,38,757,593,583,10,None,4,6,False,62.79,2.65,24.08,43.45,2610.0
2026-01-29,Plant B,Line 3,M-09,Morning,Auto Bracket,480,442.15,37.85,Machine Breakdown,42,685,560,536,24,None,10,14,True,62.27,1.42,14.51,31.93,2235.0
2026-01-29,Plant B,Line 3,M-09,Evening,Gear Cover,480,448.73,31.27,Tooling Issue,42,685,555,531,24,Dimension,13,11,True,63.88,2.63,23.73,40.72,1232.0
2026-01-29,Plant B,Line 3,M-09,Night,Gear Cover,480,442.73,37.27,Material Shortage,55,523,431,417,14,None,7,7,False,66.82,2.73,22.4,31.82,848.0
2026-01-29,Plant B,Line 1,M-10,Morning,Valve Plate,480,455.64,24.36,Setup / Changeover,55,523,419,406,13,None,6,7,False,66.82,2.6,21.62,32.57,936.0
2026-01-29,Plant B,Line 1,M-10,Evening,Auto Bracket,480,459.89,20.11,Quality Hold,38,757,670,628,42,None,29,13,False,68.85,2.77,21.62,37.15,1935.0
2026-01-29,Plant B,Line 1,M-10,Night,Valve Plate,480,421.56,58.44,Setup / Changeover,42,685,507,496,11,None,5,6,False,58.18,2.09,20.65,39.98,1512.0
2026-01-29,Plant B,Line 2,M-11,Morning,Valve Plate,480,435.38,44.62,Setup / Changeover,48,600,488,470,18,None,6,12,False,81.48,2.62,20.37,29.89,1950.0
2026-01-29,Plant B,Line 2,M-11,Evening,Bearing Cap,480,459.11,20.89,Tooling Issue,42,685,483,461,22,Surface,14,8,True,75.58,2.67,20.6,29.37,2352.0
2026-01-29,Plant B,Line 2,M-11,Night,Pump Housing,480,459.04,20.96,Material Shortage,62,464,450,424,26,None,17,9,False,83.39,3.02,21.73,41.78,260.0
2026-01-29,Plant B,Line 3,M-12,Morning,Gear Cover,480,477.92,2.08,Tooling Issue,38,757,605,595,10,None,5,5,True,67.42,2.32,20.14,27.9,1944.0
2026-01-29,Plant B,Line 3,M-12,Evening,Valve Plate,480,463.9,16.1,Machine Breakdown,42,685,598,575,23,Surface,11,12,True,64.66,2.11,25.29,32.6,880.0
2026-01-29,Plant B,Line 3,M-12,Night,Gear Cover,480,462.17,17.83,Quality Hold,38,757,584,572,12,Dimension,6,6,False,63.17,2.7,27.71,38.8,1202.5
2026-01-30,Plant A,Line 1,M-01,Morning,Auto Bracket,480,443.51,36.49,Planned Maintenance,62,464,396,385,11,Crack,4,7,False,66.17,2.43,20.05,33.5,1185.0
2026-01-30,Plant A,Line 1,M-01,Evening,Valve Plate,480,431.78,48.22,Tooling Issue,38,757,580,547,33,Surface,16,17,True,64.69,1.78,20.4,32.12,2520.0
2026-01-30,Plant A,Line 1,M-01,Night,Auto Bracket,480,420.9,59.1,Tooling Issue,55,523,405,382,23,None,15,8,True,73.79,2.25,25.64,33.73,2115.0
2026-01-30,Plant A,Line 2,M-02,Morning,Valve Plate,480,460.87,19.13,Machine Breakdown,42,685,523,518,5,None,1,4,True,66.73,2.8,21.49,31.17,2505.0
2026-01-30,Plant A,Line 2,M-02,Evening,Auto Bracket,480,459.3,20.7,Quality Hold,38,757,659,641,18,None,9,9,False,70.6,2.66,24.69,34.77,754.0
2026-01-30,Plant A,Line 2,M-02,Night,Gear Cover,480,470.4,9.6,Quality Hold,55,523,467,443,24,None,13,11,False,81.74,1.55,23.18,37.24,1200.0
2026-01-30,Plant A,Line 3,M-03,Morning,Valve Plate,480,453.99,26.01,Machine Breakdown,48,600,459,439,20,Dimension,10,10,True,77.0,2.1,21.31,34.44,1690.5
